Indicator Name,Indicator Code,Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bulgaria,BGR,48.20776641,48.18269801,48.16869242,48.16758017,48.17435887,48.18316263,48.19642336,48.21746899,48.24750762,48.28403918,48.32310486,48.36012878,48.39149,48.41910308,48.4391348,48.45212537,48.46533565,48.47400108,48.47875955,48.49068435,48.50618189,48.5054179,48.49575972,48.49321427,48.49500958
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bahrain,BHR,58.92032312,58.97458964,59.04072128,59.12438997,59.37801957,59.89050346,60.4477554,60.91839078,61.32065136,61.67139343,61.98805718,62.12689872,62.19151094,62.48662178,62.39833935,61.83227649,61.79230947,62.21531276,62.61502683,62.66179892,62.46931444,62.29775379,62.09736446,61.9602332,61.83866944
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Bahamas, The",BHS,48.92778638,48.88374039,48.83231299,48.78713301,48.73851517,48.68824124,48.64118872,48.59101014,48.53019297,48.4640086,48.4039157,48.33954864,48.27437492,48.22554514,48.18021522,48.13546081,48.09153113,48.04331576,47.9903263,47.93558693,47.88867823,47.85236831,47.8119959,47.76210779,47.71013734
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bosnia and Herzegovina,BIH,48.76915898,48.77969062,48.78458101,48.79895008,48.81084155,48.80613875,48.79694854,48.78543727,48.78247231,48.78604511,48.78638386,48.78562237,48.78676791,48.78403777,48.80774578,48.87137405,48.94322996,49.01108479,49.0700509,49.12272446,49.17126168,49.20595937,49.22641575,49.22842742,49.21941158
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Belarus,BLR,46.60889694,46.58335611,46.56426508,46.54173081,46.51262413,46.48441875,46.45405415,46.42414453,46.40354668,46.38445759,46.35961642,46.32673091,46.28386519,46.25166177,46.2405598,46.23475008,46.23172628,46.23074934,46.22366417,46.21004388,46.18260691,46.14006606,46.09446672,46.04391379,46.01177608
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Belize,BLZ,50.57855998,50.55614253,50.51511487,50.4556872,50.39432117,50.33146167,50.2708872,50.21352202,50.15731577,50.10321555,50.05140513,50.0546404,50.10954731,50.16065437,50.20975491,50.25359388,50.28607473,50.31077038,50.33133792,50.34706046,50.35890978,50.34171391,50.30385145,50.27413688,50.25521816
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bermuda,BMU,48.7725685,48.72170895,48.69096385,48.67957321,48.68892873,48.70098821,48.69359424,48.6770977,48.64779277,48.62626071,48.63384528,48.63429319,48.63299388,48.63278792,48.62375209,48.61810433,48.62536425,48.59199594,48.52311339,48.46077614,48.38901774,48.31878309,48.23868505,48.18802194,48.17306342
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bolivia,BOL,50.46915222,50.50645575,50.51768311,50.50462425,50.48964502,50.47512125,50.46165307,50.447941,50.4343151,50.42011142,50.4048375,50.38870146,50.37212471,50.35490611,50.33699454,50.31947001,50.30267126,50.2859847,50.26905174,50.25216455,50.23551633,50.20269497,50.15572701,50.11705556,50.0952289
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Brazil,BRA,49.56093329,49.53800374,49.51028938,49.48205914,49.45461483,49.42754991,49.40204393,49.37878786,49.3570023,49.33752159,49.31990326,49.302319,49.28519674,49.26893626,49.25367672,49.2408131,49.22733692,49.20941587,49.19164081,49.17739209,49.16346354,49.14685951,49.12664933,49.10654835,49.08969331
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Barbados,BRB,47.94261271,47.93374065,47.91523003,47.89138879,47.8655995,47.83672557,47.80667738,47.77331977,47.74281251,47.7205788,47.69806166,47.70176658,47.73346014,47.76119943,47.78646633,47.80985466,47.83104325,47.85016275,47.86899103,47.88764623,47.90563209,47.92709473,47.94914651,47.96420899,47.97425486
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Brunei Darussalam,BRN,52.75390237,52.68143241,52.61336824,52.54286068,52.46734172,52.39318539,52.32536261,52.2598764,52.19671127,52.13486302,52.07437146,52.01500809,51.9723242,51.94671375,51.92299284,51.90012864,51.87869124,51.8575379,51.83626324,51.8147529,51.79249763,51.7690871,51.74337016,51.71580527,51.68654038
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bhutan,BTN,51.78707158,52.08299629,52.3670748,52.63872915,52.89910451,53.14581279,53.30103132,53.32115379,53.29027866,53.26407022,53.24290002,53.22614937,53.2121834,53.19984192,53.18752238,53.17597307,53.1682798,53.16827629,53.1448009,53.09436082,53.04556986,52.99738772,52.94860615,52.90144481,52.85538668
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Botswana,BWA,48.45609787,48.52045617,48.58297435,48.64360798,48.70294051,48.76183714,48.81939891,48.88329158,48.9542074,49.02227846,49.08137982,49.12992718,49.16358058,49.18588322,49.20212982,49.21247615,49.22849541,49.25094031,49.27497252,49.30544026,49.33396061,49.3523018,49.36345412,49.37873912,49.40142456
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Central African Republic,CAF,50.3175337,50.2978051,50.26442393,50.2334984,50.22294151,50.2144764,50.20704071,50.19870285,50.18967819,50.1807047,50.17103585,50.16048053,50.15177444,50.14453295,50.13120447,50.10698655,50.08614263,50.07313154,50.0553861,50.03662572,50.02284365,50.01066812,49.9945576,49.97813285,49.96817486
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Canada,CAN,49.49749633,49.51343422,49.53455923,49.54740694,49.55135209,49.55523165,49.56195565,49.56571045,49.56266054,49.55954568,49.55921931,49.55942883,49.56682924,49.58556294,49.60504871,49.61463208,49.61611296,49.61927291,49.63251704,49.6573616,49.67979284,49.68906169,49.6920457,49.69614213,49.70145011
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Switzerland,CHE,48.85419026,48.86671079,48.86697212,48.88483168,48.91428942,48.94288167,48.97408404,49.00764012,49.0671719,49.15033316,49.20744388,49.24704392,49.29065696,49.33929801,49.39210844,49.43611775,49.47617238,49.53313656,49.5754043,49.58537467,49.59678567,49.61450409,49.63511082,49.65904587,49.68568216
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Channel Islands,CHI,48.42035481,48.46324309,48.51140752,48.57678692,48.63625945,48.68929637,48.74638508,48.79526792,48.83242834,48.87037469,48.9038017,48.92852364,48.95069004,48.97427815,49.00904284,49.04265038,49.07700845,49.10304726,49.1423245,49.23710675,49.34979842,49.43370424,49.47997498,49.49735754,49.50013402
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Chile,CHL,49.69447979,49.68574041,49.675225,49.66440866,49.65494915,49.64581645,49.63683851,49.63265344,49.63156703,49.62912618,49.62619361,49.62304523,49.62161922,49.62113731,49.6184878,49.61551091,49.61324275,49.61289002,49.6194071,49.6287721,49.63581736,49.63627278,49.63284602,49.6310116,49.62902435
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,China,CHN,51.1104154,51.12782588,51.13916289,51.14534576,51.15106704,51.15660651,51.16191651,51.16753037,51.17280211,51.17753547,51.18224912,51.18559994,51.18708534,51.18750148,51.18633612,51.18303979,51.17688005,51.16769013,51.15316754,51.13426549,51.11472674,51.08979893,51.05924642,51.03096283,51.00564067
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cote d'Ivoire,CIV,50.45311685,50.41457957,50.38015785,50.3805694,50.41423952,50.45372844,50.49970704,50.54966065,50.60172472,50.65289749,50.7012461,50.74783942,50.75519478,50.72588292,50.6978554,50.67095793,50.64482422,50.6206176,50.59712614,50.57408829,50.55206891,50.52859582,50.50436074,50.48045595,50.45895419
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cameroon,CMR,49.6137043,49.62290928,49.63338558,49.64579375,49.65997376,49.67362025,49.68750237,49.70178296,49.71539896,49.72854407,49.74147579,49.75401493,49.76630252,49.77909144,49.79219567,49.8045726,49.81544495,49.82754454,49.84113388,49.85189666,49.86160489,49.86819152,49.87101188,49.87552722,49.88149142
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Congo, Dem. Rep.",COD,49.45099055,49.43626437,49.44063021,49.44501935,49.45007051,49.45984271,49.47278656,49.48569439,49.49921563,49.51263077,49.52315249,49.5324181,49.5425157,49.55292884,49.56276421,49.57133099,49.57898928,49.5860746,49.59410273,49.60197149,49.60733488,49.61164059,49.61185523,49.60905952,49.60990119
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Congo, Rep.",COG,49.42752893,49.47313842,49.52086613,49.5596126,49.59898127,49.63999557,49.6792808,49.71629731,49.74937625,49.77812022,49.80541338,49.82838668,49.84608055,49.86284431,49.87678296,49.88734769,49.89969169,49.91065824,49.91841637,49.92753253,49.93513421,49.9380061,49.94055663,49.94285163,49.94279393
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Colombia,COL,49.67383078,49.64890469,49.62524733,49.60329806,49.58384285,49.56625807,49.54979212,49.5327767,49.51421241,49.49553367,49.47873599,49.46420827,49.44988401,49.4347426,49.41913706,49.40358667,49.38987339,49.3805657,49.37693053,49.37612528,49.37354403,49.36041868,49.334119,49.30330255,49.28210465
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Comoros,COM,49.7314999,49.69334411,49.67256422,49.66863251,49.6639363,49.69336871,49.76032719,49.81907128,49.8728317,49.92215674,49.96630313,50.00472544,50.03723486,50.06434856,50.08600315,50.10215334,50.11298027,50.11832781,50.13811865,50.1726752,50.20645119,50.22575996,50.2300928,50.23542797,50.24581169
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cabo Verde,CPV,48.45460793,48.55810462,48.71705175,48.86915692,49.0134121,49.1498881,49.28159374,49.40908107,49.53034575,49.64748715,49.7633999,49.80583716,49.78266268,49.77409977,49.76793718,49.75571166,49.74536643,49.73835679,49.73555369,49.73459477,49.73294283,49.7296787,49.72470978,49.7195477,49.71687808
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Costa Rica,CRI,50.33831185,50.32691302,50.31809262,50.30979064,50.30072029,50.29114936,50.28092719,50.26821696,50.25462729,50.24117482,50.22689485,50.21407314,50.2031015,50.19219511,50.18074584,50.16747559,50.15216817,50.13521179,50.11890645,50.10127493,50.0808334,50.05991484,50.03419703,50.00568442,49.98366324
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cuba,CUB,50.25184068,50.19761312,50.14265481,50.09204524,50.05905324,50.03866268,50.01832633,49.99848143,49.97964931,49.96179259,49.94479839,49.92888217,49.91404328,49.89756209,49.87949119,49.86147226,49.84192974,49.8188064,49.79130509,49.76198429,49.73431735,49.70328381,49.65416921,49.61290795,49.59318677
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Curacao,CUW,46.54976231,46.39170155,46.30131337,46.28170488,46.26016715,46.21837155,46.16502448,46.09926235,46.02975302,45.96117397,45.89389211,45.82318986,45.74367412,45.79073853,45.94910194,46.06993007,46.15561531,46.2097119,46.24134232,47.57094445,48.287219,47.87096911,47.91528754,47.94180882,47.9739896
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cayman Islands,CYM,49.05862384,49.08971708,49.1450285,49.20388167,49.25675984,49.29337985,49.32052133,49.35342591,49.39472677,49.43763081,49.49051367,49.55616378,49.6810351,49.85578614,50.01030715,50.12340704,50.19126266,50.22889728,50.25715229,50.28512422,50.32963377,50.42415058,50.48432547,50.45993072,50.41552446
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cyprus,CYP,50.49130528,50.45732238,50.4244271,50.39371041,50.36387264,50.33337129,50.30364626,50.27505168,50.24653753,50.21759628,50.18767316,50.15482178,50.13012123,50.11992502,50.11525595,50.11142783,50.10932552,50.10455963,50.09660553,50.09636283,50.09919957,50.09401739,50.08519613,50.08238193,50.08562554
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Czechia,CZE,48.67048936,48.68612789,48.71240033,48.7501575,48.7882461,48.82540189,48.86376249,48.90465282,48.94384498,48.98298737,49.02358679,49.06359436,49.09171058,49.10452937,49.10808373,49.11967864,49.14550811,49.172446,49.19834721,49.22373366,49.24869062,49.25940701,49.24888811,49.26128165,49.31462146
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Germany,DEU,48.62649683,48.63179331,48.63374483,48.63740938,48.64566662,48.65896996,48.68129244,48.71721544,48.76473431,48.82327797,48.89005701,48.95926214,49.02844365,49.09672525,49.16229365,49.21988436,49.26743832,49.30042689,49.32057579,49.33227857,49.3379389,49.34113804,49.34025232,49.3419449,49.35417628
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Djibouti,DJI,49.70634068,49.71948687,49.7337653,49.74750643,49.75837383,49.76703777,49.77198352,49.77489737,49.77612009,49.77448957,49.77499797,49.77387921,49.77023114,49.76427674,49.75822045,49.74921316,49.73689676,49.72651161,49.71395832,49.69967783,49.68612488,49.66912992,49.64827684,49.62880816,49.61252315
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Dominica,DMA,49.91702815,49.94147426,49.97432248,50.04101843,50.10958184,50.18520139,50.26502024,50.31858253,50.35259905,50.3954523,50.44121709,50.49378227,50.50478601,50.46016723,50.48315146,50.34668666,50.20069422,50.20192651,50.13848842,50.05718481,49.94259954,49.84096118,49.76937524,49.71472566,49.67415115
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Denmark,DNK,49.41235229,49.43170828,49.44908808,49.4671479,49.48295655,49.49300039,49.5031835,49.5153965,49.52962942,49.54494579,49.55948229,49.57459661,49.5889359,49.60388034,49.62014155,49.63594473,49.65262929,49.67126388,49.68885975,49.70485648,49.71992164,49.73327399,49.74440747,49.75141361,49.75561305
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Dominican Republic,DOM,50.5135784,50.62107245,50.72560514,50.7660003,50.74626799,50.72862518,50.710569,50.6903365,50.66664142,50.63902481,50.60774388,50.57367948,50.53824632,50.50272748,50.46799509,50.43468197,50.4032162,50.37373219,50.34566692,50.3179453,50.28918711,50.25137131,50.20946003,50.17678169,50.14944888
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Algeria,DZA,51.02074953,51.01022365,51.00112384,50.99455818,50.9926961,50.99367626,50.99546101,50.99710544,50.99621652,50.9944115,50.99136872,50.98856704,50.98624405,50.98148946,50.97572603,50.96916505,50.96263186,50.95849264,50.95545212,50.95189122,50.94652972,50.93682484,50.92412465,50.9144655,50.90759252
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ecuador,ECU,50.08465164,50.08024785,50.07627951,50.07274718,50.06936225,50.06581284,50.06169203,50.05653127,50.05018652,50.04273013,50.0347289,50.02708214,50.020948,50.01689176,50.01463144,50.01389899,50.01405294,50.0141944,50.01334376,50.01066664,50.00517189,49.97640801,49.93238747,49.91168268,49.90806182
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Egypt, Arab Rep.",EGY,50.61753476,50.63276142,50.64377223,50.65861909,50.67194665,50.67743558,50.67554968,50.66729778,50.65830296,50.6484667,50.63787861,50.62982499,50.63799065,50.64588401,50.63866403,50.63056423,50.62491789,50.61905197,50.60991428,50.59800648,50.58708228,50.58142951,50.57586075,50.56720418,50.55837207
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Eritrea,ERI,48.93436261,48.81247702,48.84779281,48.895865,48.9491933,48.99983352,49.03158208,49.05515204,49.07896607,49.11359085,49.14526727,49.17011545,49.19147517,49.20814021,49.22537448,49.23682647,49.24479178,49.25499668,49.2668828,49.28240011,49.29836305,49.31321973,49.32834518,49.34479396,49.36174628
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Spain,ESP,48.97740953,48.98203806,48.985421,49.03329757,49.11499974,49.20034294,49.28950362,49.34944826,49.41172196,49.46157572,49.45140344,49.41120533,49.36519179,49.30071557,49.22512511,49.16714895,49.12921535,49.09571009,49.06054782,49.03230663,49.01817414,49.0094409,49.00657834,49.01121416,49.0163854
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Estonia,EST,46.5866713,46.60911447,46.58993728,46.55527682,46.52598018,46.50255417,46.49196626,46.48962768,46.48314826,46.49722403,46.53778946,46.58285362,46.62486657,46.65906091,46.702914,46.75723417,46.82209884,46.89853381,47.00758757,47.15054593,47.28527195,47.37627158,47.42752508,47.4767394,47.52711177
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ethiopia,ETH,50.10250919,50.13341043,50.17472018,50.21066797,50.2409072,50.26836952,50.29177123,50.31069863,50.32420838,50.3314949,50.33369206,50.33348596,50.33396146,50.33334011,50.32944851,50.32379095,50.31668537,50.30574141,50.29563776,50.28638406,50.27614297,50.26545958,50.25098388,50.23521898,50.22301554
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Finland,FIN,48.77681521,48.80396058,48.83348156,48.86509162,48.89551848,48.91763631,48.93576545,48.9540472,48.97735526,49.01267562,49.0437672,49.06958832,49.09781918,49.12534663,49.15513732,49.18310922,49.21412891,49.25905592,49.30368509,49.33770722,49.36594647,49.39023067,49.40444278,49.41221803,49.42364721
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Fiji,FJI,50.82570055,50.84689775,50.86899158,50.89099661,50.91470874,50.9407011,50.9665422,50.99384769,51.02565772,51.009054,50.9393898,50.86806994,50.79599936,50.72536466,50.65569876,50.58477871,50.51166594,50.44029047,50.3717551,50.30228641,50.23228974,50.18111258,50.14903581,50.13519531,50.13910025
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,France,FRA,48.51444867,48.50623756,48.49692379,48.48734402,48.48005957,48.47066397,48.45818826,48.4463539,48.43405548,48.42260275,48.41302191,48.40372262,48.39392004,48.38640217,48.38107352,48.37501962,48.36977078,48.36553425,48.3625022,48.35990829,48.35616077,48.35011069,48.34113274,48.32527236,48.3024506
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Faroe Islands,FRO,51.70674513,51.71484888,51.73316034,51.78262448,51.83786293,51.88689075,51.93721397,51.94461118,51.91993549,51.90968995,51.9337587,51.92935344,51.88690944,51.83501405,51.77826428,51.68678428,51.64085546,51.65656566,51.68027075,51.73192032,51.75789942,51.75999237,51.76879881,51.76492748,51.75520931
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Micronesia, Fed. Sts.",FSM,50.4567909,50.40686068,50.42162433,50.44556754,50.46375386,50.4729087,50.47322877,50.4582914,50.44461892,50.43788637,50.42552008,50.4201212,50.42127411,50.41762141,50.41479067,50.40816701,50.39739818,50.3870821,50.37580368,50.36104175,50.34342201,50.32112465,50.29390706,50.26715952,50.24213705
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Gabon,GAB,49.71090393,49.75752886,49.8083561,49.86524518,49.92563831,49.99379018,50.07457042,50.16631903,50.2675874,50.37388014,50.48393086,50.60010929,50.72016925,50.83919301,50.94873059,51.03528221,51.08672986,51.10286328,51.08837196,51.0566548,51.02241187,50.98297851,50.93207311,50.87940855,50.83285247
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,United Kingdom,GBR,48.69694829,48.72475284,48.75347289,48.78544753,48.82170181,48.8590586,48.89607287,48.93257483,48.96927843,49.00845291,49.04551453,49.08020373,49.11474924,49.15124071,49.1888338,49.22330279,49.25779115,49.29146895,49.32191731,49.35014895,49.37514693,49.39254072,49.40260361,49.41637948,49.43485227
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Georgia,GEO,46.5687458,46.52445435,46.47457667,46.43500525,46.458793,46.53602784,46.60886574,46.67394703,46.74611606,46.82462398,46.89971986,46.97274913,47.04319744,47.10820964,47.166116,47.17557333,47.14313898,47.11602154,47.09772263,47.08478193,47.0654456,47.0391767,47.01709429,47.00374027,46.99558671
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ghana,GHA,49.61156953,49.62865937,49.65446147,49.67995974,49.7019904,49.72236936,49.74184724,49.76140531,49.77900585,49.79548088,49.81081941,49.82552105,49.83945053,49.8476028,49.855064,49.8623652,49.86801434,49.87263614,49.87575715,49.87919428,49.88114125,49.87916403,49.87518819,49.87208398,49.86968959
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Gibraltar,GIB,50.05957754,49.90447352,49.74568017,49.70242363,49.75442564,49.79802201,49.82678786,49.84959611,49.85331378,49.86512271,49.88156657,49.89444053,49.91325195,49.95024876,49.95834747,49.92296315,49.88622386,49.88177491,49.89877922,49.91729968,49.93116108,49.94649791,49.9464324,49.94946246,49.96940773
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guinea,GIN,49.34071952,49.29369398,49.14411648,49.04265551,49.05862279,49.05207979,49.01337117,48.9824851,48.98384658,48.9970485,49.01122337,49.02630076,49.04442675,49.0594782,49.07380355,49.09589517,49.12904681,49.17273804,49.21632094,49.26097965,49.31059421,49.35977644,49.40841298,49.45415514,49.49462363
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Gambia, The",GMB,49.36637978,49.32478354,49.28672769,49.25152228,49.24964422,49.27866768,49.30756314,49.33722668,49.37086481,49.40803343,49.44388508,49.4799138,49.51656781,49.54837764,49.57919759,49.60856895,49.63493056,49.65911533,49.67986487,49.69966248,49.71702547,49.72942838,49.74093873,49.75384258,49.76600769
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guinea-Bissau,GNB,48.73739509,48.74277836,48.76314241,48.7859324,48.81264285,48.84243535,48.87371504,48.90625851,48.94124525,48.97640536,49.00916451,49.04046656,49.0720732,49.10532172,49.13830221,49.17097313,49.20239541,49.2320741,49.26131461,49.28899637,49.31571712,49.33982463,49.36214073,49.38624579,49.41046344
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Equatorial Guinea,GNQ,50.27533132,50.47585539,50.70251783,50.91637217,51.11785645,51.30627878,51.47827173,51.63073851,51.76283234,51.87487877,51.97051604,52.05285585,52.17021321,52.31913247,52.45321121,52.57187594,52.6729192,52.75814964,52.82671604,52.88015174,52.9210943,52.89016816,52.8230627,52.77460016,52.71903473
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Greece,GRC,49.81917183,49.82449439,49.81962002,49.8070448,49.78547745,49.75380768,49.7104319,49.65780495,49.59854368,49.53345441,49.46172474,49.38956113,49.32012386,49.25131127,49.19000908,49.13824204,49.09412647,49.06179144,49.03910579,49.02064473,49.00840021,48.99993645,48.98715363,48.93992482,48.87347085
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Grenada,GRD,50.23543619,50.29693201,50.34464868,50.3875969,50.41475078,50.42185617,50.42810238,50.43157819,50.43544417,50.44808763,50.46225574,50.47571445,50.45597731,50.40548002,50.36299115,50.32295799,50.27651706,50.22923162,50.18235046,50.1403503,50.09859522,50.06833087,50.04092769,50.00159441,49.95997876
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Greenland,GRL,53.5058639,53.48319806,53.44766431,53.40051268,53.34050204,53.2831569,53.24766643,53.21504638,53.16886506,53.13195942,53.10052798,53.04963532,52.98642695,52.92798804,52.88559254,52.8425643,52.80794347,52.78811074,52.77320841,52.76501404,52.75607445,52.70945632,52.61632559,52.51124571,52.39835461
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guatemala,GTM,49.71560179,49.7009005,49.68720632,49.67421099,49.66087279,49.64689962,49.63304133,49.61915111,49.60551541,49.59255553,49.5802807,49.56924996,49.55974175,49.55168807,49.54483863,49.53939673,49.53527278,49.53217125,49.52991856,49.52856872,49.52892314,49.52150349,49.50437809,49.48976984,49.48179933
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guam,GUM,50.78758799,50.68482034,50.6915381,50.71756796,50.73905193,50.75668886,50.77236514,50.78427205,50.78567397,50.78039156,50.77105359,50.75103848,50.72472517,50.69354296,50.6638572,50.6335687,50.59948327,50.56609602,50.53497503,50.50214017,50.46849796,50.41452216,50.35887272,50.3254276,50.29834867
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guyana,GUY,49.81768147,49.86423837,49.90964835,49.95416422,49.96147586,49.92925,49.8950256,49.86200613,49.8302096,49.79884638,49.76745672,49.73500265,49.70103328,49.6663826,49.55861497,49.38404905,49.21930358,49.06012091,48.90678308,49.14489112,49.17928321,48.90843224,48.92507398,48.96367867,49.00569404
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Hong Kong SAR, China",HKG,49.4812755,49.28430984,49.07135764,48.83624937,48.5946547,48.35106951,48.10808154,47.87776045,47.67025602,47.47392343,47.27565139,47.07224935,46.88467373,46.73451699,46.59526668,46.44732048,46.29724326,46.22039727,46.21307002,46.19871136,46.18222596,46.15658427,46.12136934,46.07332353,46.01012947
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Honduras,HND,50.53812777,50.54225614,50.54587977,50.55057702,50.55683369,50.56104858,50.56492645,50.56987554,50.57456266,50.57876809,50.58182002,50.58297113,50.5815944,50.57792742,50.57220693,50.56626722,50.55988458,50.55213101,50.54391669,50.53514554,50.52596043,50.51471764,50.50135017,50.4881116,50.47640138
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Croatia,HRV,48.07734692,47.99854192,47.9562364,47.95445683,47.95891811,47.96964002,47.98503549,48.00577694,48.03133878,48.05856797,48.09099684,48.13211399,48.1771397,48.2229756,48.27116444,48.32445217,48.38203306,48.43765648,48.49571863,48.55522854,48.61064296,48.66289354,48.68924309,48.70634321,48.73663411
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Haiti,HTI,49.63190745,49.64218068,49.65112842,49.65853671,49.66423426,49.67089733,49.67530372,49.67490758,49.67355304,49.67157505,49.66889119,49.6881299,49.70447983,49.69624196,49.68673273,49.67496547,49.66194319,49.64719029,49.63087089,49.61432186,49.59597464,49.5754281,49.55506274,49.53570981,49.51654886
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Hungary,HUN,47.62384245,47.58808887,47.55719592,47.52878803,47.50338553,47.48449476,47.48202839,47.48527478,47.48229589,47.48364595,47.4924862,47.5016334,47.53500994,47.57867945,47.60262603,47.62923746,47.66777466,47.70462952,47.74547114,47.80939896,47.87853737,47.92033248,47.93395035,48.01042568,48.07686192
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Indonesia,IDN,50.2858402,50.29370037,50.30153385,50.30929274,50.31624579,50.32432994,50.33430018,50.33935515,50.34372195,50.35021502,50.35444804,50.35840924,50.36482663,50.37092699,50.3728957,50.37316879,50.37490239,50.37606161,50.37655097,50.3756582,50.37354116,50.36732305,50.3564826,50.34577237,50.33897454
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Isle of Man,IMN,48.76653988,48.88171303,48.9842666,49.07298239,49.15382543,49.23802382,49.31813889,49.3954729,49.48212084,49.56156933,49.61225351,49.65047478,49.65026675,49.61464583,49.58285796,49.55540193,49.5424258,49.5386459,49.5417564,49.5470009,49.54308794,49.53239892,49.53063622,49.52614205,49.51835675
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,India,IND,51.7293928,51.73708555,51.74294584,51.7461646,51.74766558,51.74766281,51.74585429,51.74214898,51.73661568,51.72984295,51.72210121,51.71360516,51.70431245,51.69447188,51.68509885,51.67727375,51.67136747,51.66626651,51.66076804,51.65431134,51.64621746,51.63306321,51.61424351,51.59429433,51.57757694
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ireland,IRL,49.6591586,49.68585415,49.69229709,49.67177316,49.68233299,49.76254689,49.89561333,50.01249172,50.00658282,49.89228262,49.76194455,49.66594726,49.59213344,49.54096242,49.51630393,49.47545167,49.46758942,49.49007462,49.50660687,49.52548419,49.53287559,49.54017483,49.55191249,49.56074017,49.5690967
